cat,修格里城,淘金乐园,铁盟哨站,荒原站,曼德矿场,澄明数据中心,7号自由港,阿妮塔战备工厂,阿妮塔能源研究所,阿妮塔发射中心
阿妮塔101民用无人机,2245,2448,2012,2320,2068,2008,1443,1759,0.0,1526
阿妮塔202军用无人机,3701,3864,3763,4077,3920,3005,4155,0.0,4007,3357
阿妮塔小型桦树发电机,7801,7050,8820,7858,6933,7741,7241,7764,0.0,7838
白兰地,819,663,943,749,736,718,859,772,755,702
斑节虾,845,1037,966,891,1121,891,0.0,708,805,626
宝石工艺品,4790,4284,4284,4162,4162,4488,4202,4080,3672,4162
杯面,48,54,59,47,59,58,52,57,57,51
充电电池,401,388,358,370,382,357,323,282,0.0,255
纯金线材,6804,7560,7258,7182,8118,8354,7484,8136,8502,8676
大龙虾,1343,1155,1617,1685,1272,1460,1295,1209,1140,1248
带鱼,400,216,346,359,230,407,337,300,277,324
单晶硅,1757,1186,1872,2239,1153,1812,1664,1664,1798,1581
弹丸加速装置,0.0,2570,0.0,2113,2297,2274,2359,2570,2785,2708
刀具,1846,2045,1628,1929,1987,1929,1929,1813,2006,2315
靛红五月军用食品,157,205,0.0,191,156,193,228,170,234,234
电子配件,1228,1222,966,1268,1274,1074,0.0,1315,954,1228
发动机,0.0,3918,3603,3708,3708,3708,3813,3813,4127,4022
方便食品（军用）,106,123,133,132,131,140,135,123,132,98
防弹背心,3401,3149,0.0,3049,3401,3007,3359,3765,4017,3946
蜂窝防热烧蚀材料,5162,4133,4980,3848,4618,3531,4316,4190,3670,0.0
负片炮弹,4990,5173,4476,5012,4734,4741,4741,0.0,4121,4899
橄榄油,325,238,291,291,314,302,317,246,235,302
钢筋混凝土轨枕,560,600,528,606,0.0,634,611,631,783,819
高档餐具,0.0,429,394,360,314,356,429,417,440,410
高导磁硅钢片,1025,950,835,995,996,753,907,0.0,925,1053
高导热陶瓷,1825,2030,2034,1988,2092,2019,1896,1840,1758,0.0
高端护肤品,3317,2823,3222,2885,3315,3284,2486,2823,3621,3284
罐头,0.0,117,105,114,106,125,115,116,126,135
海角辣椒,118,80,122,136,80,113,102,81,95,85
海角水产礼盒,4187,4121,5737,4543,3626,5268,5231,4382,4238,5186
海盐,101,114,100,110,109,91,0.0,87,89,98
航天半导体,9109,9057,9249,8012,7834,8119,8004,8600,8778,0.0
航天纪念品,1009,941,894,811,934,853,0.0,776,848,814
黑松露,4109,5167,4227,5402,4932,4834,5269,4697,4462,5402
红茶,0.0,865,638,807,751,751,891,699,987,1101
琥珀,2903,3118,2768,0.0,2903,3118,3386,3172,3440,3575
户外用品,408,317,434,466,430,415,343,375,340,419
画材,563,574,557,608,524,546,603,569,462,569
桦石发财树,6335,4634,5509,5523,4915,5279,0.0,6188,5157,4751
化妆品,764,742,728,784,693,658,777,728,826,637
黄铜,558,665,639,767,0.0,656,659,708,810,728
黄铜线圈,783,882,639,853,692,718,809,0.0,696,775
火车玩具,339,404,309,345,362,0.0,366,373,353,361
火澄石,6804,8688,7770,6343,7735,6868,7754,0.0,6456,7848
火箭拼装玩具,668,729,760,812,800,618,762,672,574,0.0
火腿,1710,1745,1710,1425,1674,1799,1514,1959,1496,2048
家电,0.0,1376,1110,1199,1199,1188,1176,1118,1317,1353
家用太阳能电池组,1408,1717,1358,1490,1517,1296,1232,1294,0.0,1269
建材,405,440,492,453,0.0,530,569,625,589,525
坚果,190,220,203,202,212,190,0.0,177,177,185
金箔,3414,4320,4002,3571,4312,4072,4248,4140,4801,4107
金箔酒,2844,2283,2226,2523,2523,2115,2523,2451,2763,2763
精钢,1665,1653,0.0,1467,1394,1776,1675,1446,1831,1831
抗污染防护服,3450,3963,2937,3700,2608,3326,2666,0.0,2876,3232
孔雀石,1978,2145,1666,0.0,1639,1790,2121,1947,2133,2612
锂电池,855,1076,964,839,923,788,806,783,0.0,887
录像带,603,631,532,489,597,0.0,483,501,653,533
录音带,301,254,266,293,293,0.0,301,230,246,284
绿松石,1097,1474,1202,0.0,1334,1355,1665,1495,1415,1654
玛瑙,1797,0.0,1738,2109,1642,2059,2234,2486,2480,2433
曼德工具箱,1041,1044,802,964,0.0,1087,1272,1089,1724,1330
棉花,806,917,773,0.0,789,923,1095,1193,1133,1205
纳豆,170,163,156,142,191,142,180,165,156,183
年货大礼包,3032,3127,2632,3177,3177,2891,2963,3885,3805,3417
镍基高温合金,1623,2067,2112,1877,2094,1573,1750,1555,1813,0.0
炮弹,1778,2088,0.0,1831,1814,1795,2126,2068,2018,2338
啤酒,122,158,143,141,148,138,0.0,130,116,140
漆黑矿渣,647,0.0,576,585,641,618,679,620,877,741
汽配零件,0.0,792,779,809,809,673,781,911,933,877
汽油,581,664,0.0,528,558,513,702,638,690,636
铅矿石,777,739,614,0.0,670,761,757,729,664,808
琴酒,513,562,580,465,539,489,489,548,391,465
青金石,2344,0.0,1823,2582,2074,2311,2261,2338,2968,2465
轻奢女装,541,530,515,515,510,608,577,510,442,572
人工晶花,1837,2370,1665,2424,2359,2157,0.0,2220,1837,1837
日化用品,168,208,171,181,178,146,159,178,168,185
沙金,2737,0.0,2796,2796,2433,2570,3027,2546,2743,3515
砂石,30,35,29,31,0.0,30,35,34,37,34
石材,163,174,167,168,0.0,248,192,255,222,218
石墨,448,377,356,0.0,376,440,453,452,465,479
石墨烯,3068,3401,3263,3290,3373,3152,0.0,2958,3041,3068
石墨烯电池,5075,4828,4971,3987,4572,4681,4274,4396,0.0,4396
石英砂,271,0.0,278,282,274,292,306,292,316,389
手工编织地毯,1329,1360,1156,1306,1632,1292,1357,1428,1156,1496
水产甄选礼盒,6977,6116,7409,7272,7489,6210,7218,6148,6069,5881
水晶工艺品,832,680,832,808,808,712,840,832,888,768
松茸,1908,1854,2076,1576,1854,1908,2099,1947,1947,1947
塑胶炸药,761,868,0.0,920,750,947,799,868,966,1094
随身听,1366,1376,1354,1426,1303,1144,1429,1327,1082,1180
钛合金,2713,3029,2528,3246,2550,2696,2661,0.0,2855,2831
钛矿石,1838,1995,1665,1715,0.0,1904,1776,1882,2489,2489
太阳电池阵,5859,5619,5267,7106,5744,6158,6460,6578,4650,0.0
碳纤维,1538,1699,1772,1433,1674,1378,1588,0.0,1786,1676
铁轨用特种钢材,1038,1154,1179,1026,0.0,1074,1275,1159,1379,1522
铁矿石,343,0.0,325,339,0.0,386,400,388,432,384
土豆,75,85,66,0.0,69,71,75,76,80,82
图形加速卡,3137,3650,2768,3982,0.0,3564,3677,3915,4903,4086
沃德烤鸡,0.0,451,360,427,398,392,432,479,528,694
沃德山泉,0.0,71,53,52,59,63,74,71,86,91
无刷电机,814,983,906,1007,857,970,803,837,823,0.0
西大陆甄选礼盒,6863,6936,7666,6936,7666,6206,6571,7812,7228,7885
香水,1126,1312,1179,1142,1106,1179,1130,1203,1057,1203
行李箱包,531,499,555,626,563,680,591,592,424,581
形态共振瞄准器,1178,1150,1341,1338,1244,1213,1147,0.0,1081,1074
修格里严选礼包,2077,1752,2381,1782,2306,2096,2190,2190,2617,2379
学会书籍,1076,612,1071,1055,612,1006,817,817,614,901
扬声器,1213,1065,933,855,922,0.0,950,1119,1115,1129
液氧甲烷燃料,851,1130,1034,1095,1095,917,863,869,1006,0.0
银矿石,2385,2520,2650,2589,2616,0.0,2589,2438,2501,2703
荧光棒,427,430,445,467,470,0.0,470,472,502,459
游戏机,3835,3323,3561,3976,3502,0.0,3552,3802,4116,3279
游戏卡带,878,916,725,922,849,0.0,861,722,1057,880
鱿鱼,269,204,284,318,208,309,241,238,205,208
羽绒服,858,931,831,980,784,1059,1078,1078,990,1009
鱼子酱,3606,3153,4282,3114,3192,3206,3659,4049,4477,3387
折扇,738,861,815,815,695,815,634,664,808,725
珍珠,5707,4410,5690,5659,3749,5363,5014,4278,4194,4508
子弹,738,690,0.0,634,725,639,690,834,735,983
阿妮塔101民用无人机,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阿妮塔202军用无人机,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阿妮塔小型桦树发电机,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
白兰地,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
斑节虾,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宝石工艺品,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
杯面,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
充电电池,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
纯金线材,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大龙虾,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
带鱼,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
单晶硅,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
弹丸加速装置,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
刀具,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
靛红五月军用食品,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
电子配件,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
发动机,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
方便食品（军用）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
防弹背心,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
蜂窝防热烧蚀材料,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
负片炮弹,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
橄榄油,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
钢筋混凝土轨枕,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高档餐具,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高导磁硅钢片,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高导热陶瓷,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高端护肤品,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
罐头,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
海角辣椒,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
海角水产礼盒,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
海盐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
航天半导体,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
航天纪念品,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
黑松露,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
红茶,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
琥珀,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
户外用品,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
画材,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
桦石发财树,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
化妆品,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
黄铜,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
黄铜线圈,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
火车玩具,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
火澄石,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
火箭拼装玩具,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
火腿,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
家电,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
家用太阳能电池组,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
建材,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
坚果,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
金箔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
金箔酒,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
精钢,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
抗污染防护服,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
孔雀石,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
锂电池,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
录像带,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
录音带,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
绿松石,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
玛瑙,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
曼德工具箱,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
棉花,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
纳豆,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
年货大礼包,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
镍基高温合金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
炮弹,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
啤酒,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
漆黑矿渣,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
汽配零件,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
汽油,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
铅矿石,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
琴酒,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青金石,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
轻奢女装,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
人工晶花,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日化用品,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
沙金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
砂石,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
石材,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
石墨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
石墨烯,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
石墨烯电池,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
石英砂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
手工编织地毯,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
水产甄选礼盒,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
水晶工艺品,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松茸,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
塑胶炸药,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
随身听,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
钛合金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
钛矿石,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
太阳电池阵,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
碳纤维,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
铁轨用特种钢材,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
铁矿石,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
土豆,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
图形加速卡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
沃德烤鸡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
沃德山泉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
无刷电机,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西大陆甄选礼盒,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
香水,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
行李箱包,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
形态共振瞄准器,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
修格里严选礼包,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
学会书籍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
扬声器,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
液氧甲烷燃料,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
银矿石,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
荧光棒,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
游戏机,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
游戏卡带,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鱿鱼,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
羽绒服,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鱼子酱,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
折扇,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
珍珠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
子弹,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阿妮塔101民用无人机,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阿妮塔202军用无人机,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阿妮塔小型桦树发电机,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
白兰地,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
斑节虾,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宝石工艺品,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
杯面,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
充电电池,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
纯金线材,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大龙虾,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
带鱼,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
单晶硅,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
弹丸加速装置,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
刀具,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
靛红五月军用食品,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
电子配件,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
发动机,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
方便食品（军用）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
防弹背心,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
蜂窝防热烧蚀材料,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
负片炮弹,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
橄榄油,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
钢筋混凝土轨枕,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高档餐具,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高导磁硅钢片,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高导热陶瓷,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高端护肤品,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
